date;exchange_rate_fix
29/04/2024;17398
28/04/2024;17382
27/04/2024;17382
26/04/2024;17344
25/04/2024;17356
24/04/2024;17362
23/04/2024;17272
22/04/2024;17302
21/04/2024;17299
20/04/2024;17299
19/04/2024;17270
18/04/2024;17255
17/04/2024;17304
16/04/2024;17325
15/04/2024;17118
14/04/2024;17198
13/04/2024;17198
12/04/2024;17159
11/04/2024;17151
10/04/2024;17158
09/04/2024;17231
08/04/2024;17241
07/04/2024;17234
06/04/2024;17234
05/04/2024;17212
04/04/2024;17232
03/04/2024;17250
02/04/2024;17163
01/04/2024;17132
31/03/2024;17150
30/03/2024;17150
29/03/2024;17126
28/03/2024;17120
27/03/2024;17192
26/03/2024;17135
25/03/2024;17105
24/03/2024;17179
23/03/2024;17179
22/03/2024;17095
21/03/2024;17062
20/03/2024;17094
19/03/2024;17099
18/03/2024;17100
17/03/2024;17052
16/03/2024;17052
15/03/2024;17030
14/03/2024;17010
13/03/2024;17040
12/03/2024;16979
11/03/2024;16947
10/03/2024;17009
09/03/2024;17009
08/03/2024;17006
07/03/2024;17089
06/03/2024;17061
05/03/2024;17088
04/03/2024;17089
03/03/2024;17037
02/03/2024;17037
01/03/2024;17030
29/02/2024;16971
28/02/2024;17034
27/02/2024;16988
26/02/2024;16961
25/02/2024;16894
24/02/2024;16894
23/02/2024;16873
22/02/2024;16868
21/02/2024;16914
20/02/2024;16929
19/02/2024;16850
18/02/2024;16872
17/02/2024;16872
16/02/2024;16862
15/02/2024;16823
14/02/2024;16698
13/02/2024;16770
12/02/2024;16783
11/02/2024;16836
10/02/2024;16836
09/02/2024;16845
08/02/2024;16887
07/02/2024;16853
06/02/2024;16928
05/02/2024;16919
04/02/2024;17000
03/02/2024;17000
02/02/2024;16981
01/02/2024;17095
31/01/2024;17099
30/01/2024;17137
29/01/2024;17126
28/01/2024;17137
27/01/2024;17137
26/01/2024;17133
25/01/2024;17133
24/01/2024;17105
23/01/2024;17050
22/01/2024;17041
21/01/2024;17048
20/01/2024;17048
19/01/2024;17000
18/01/2024;16968
17/01/2024;16997
16/01/2024;16993
15/01/2024;17020
14/01/2024;17033
13/01/2024;17033
12/01/2024;17033
11/01/2024;17071
10/01/2024;17055
09/01/2024;16986
08/01/2024;16975
07/01/2024;16983
06/01/2024;16983
05/01/2024;16957
04/01/2024;17004
03/01/2024;16986
02/01/2024;16953
01/01/2024;17000
31/12/2023;17013
30/12/2023;17013
29/12/2023;16991
28/12/2023;17107
27/12/2023;17086
26/12/2023;17018
25/12/2023;17025
24/12/2023;17051
23/12/2023;17051
22/12/2023;17041
21/12/2023;17001
20/12/2023;16978
19/12/2023;16978
18/12/2023;16920
17/12/2023;16931
16/12/2023;16938
15/12/2023;16992
14/12/2023;17019
13/12/2023;16697
12/12/2023;16808
11/12/2023;16839
10/12/2023;16755
09/12/2023;16777
08/12/2023;16761
07/12/2023;16739
06/12/2023;16700
05/12/2023;16693
04/12/2023;16774
03/12/2023;16806
02/12/2023;16802
01/12/2023;16788
30/11/2023;16938
29/11/2023;16959
28/11/2023;16881
27/11/2023;16968
26/11/2023;16999
25/11/2023;17007
24/11/2023;17007
23/11/2023;17048
22/11/2023;17045
21/11/2023;16928
20/11/2023;16757
19/11/2023;16826
18/11/2023;16837
17/11/2023;16837
16/11/2023;16804
15/11/2023;16837
14/11/2023;16820
13/11/2023;16790
12/11/2023;16815
10/11/2023;16815
09/11/2023;16759
08/11/2023;16733
07/11/2023;16742
06/11/2023;16698
05/11/2023;16723
04/11/2023;16736
03/11/2023;16736
02/11/2023;16827
01/11/2023;16836
31/10/2023;16846
30/10/2023;16854
28/10/2023;16831
27/10/2023;16823
26/10/2023;16800
25/10/2023;16758
24/10/2023;16777
23/10/2023;16984
20/10/2023;16806
19/10/2023;16726
18/10/2023;16559
17/10/2023;16605
16/10/2023;16586
13/10/2023;16477
12/10/2023;16507
11/10/2023;16653
10/10/2023;16671
09/10/2023;16565
06/10/2023;16514
05/10/2023;16453
04/10/2023;16414
03/10/2023;16291
02/10/2023;16283
29/09/2023;16364
28/09/2023;16385
27/09/2023;16291
26/09/2023;16363
25/09/2023;16300
22/09/2023;16352
21/09/2023;16374
20/09/2023;16382
19/09/2023;16412
18/09/2023;16735
15/09/2023;16357
14/09/2023;16329
13/09/2023;16501
12/09/2023;16488
11/09/2023;16466
08/09/2023;16390
07/09/2023;16380
06/09/2023;16395
05/09/2023;16350
04/09/2023;16438
01/09/2023;16408
31/08/2023;16508
30/08/2023;16633
29/08/2023;16599
28/08/2023;16532
25/08/2023;16497
24/08/2023;16476
23/08/2023;16601
22/08/2023;16597
21/08/2023;16682
18/08/2023;16607
17/08/2023;16605
16/08/2023;16617
15/08/2023;16715
14/08/2023;16695
11/08/2023;16643
10/08/2023;16665
09/08/2023;16662
08/08/2023;16662
07/08/2023;16694
04/08/2023;16682
03/08/2023;16614
02/08/2023;16589
01/08/2023;16598
31/07/2023;16569
28/07/2023;16629
27/07/2023;16453
26/07/2023;16650
25/07/2023;16566
24/07/2023;16613
21/07/2023;16704
20/07/2023;16669
19/07/2023;16784
18/07/2023;16810
17/07/2023;16849
14/07/2023;16785
13/07/2023;16792
12/07/2023;16773
11/07/2023;16649
10/07/2023;16695
07/07/2023;16587
06/07/2023;16360
05/07/2023;16288
04/07/2023;16308
03/07/2023;16385
30/06/2023;16347
29/06/2023;16285
28/06/2023;16352
27/06/2023;16425
26/06/2023;16364
23/06/2023;16322
22/06/2023;16355
21/06/2023;16411
20/06/2023;16356
19/06/2023;16368
16/06/2023;16323
15/06/2023;16341
14/06/2023;16122
13/06/2023;16025
12/06/2023;15976
09/06/2023;15940
08/06/2023;16046
07/06/2023;15906
06/06/2023;15879
05/06/2023;15934
02/06/2023;16038
01/06/2023;16118
31/05/2023;16007
30/05/2023;16068
29/05/2023;16027
26/05/2023;16032
25/05/2023;16021
24/05/2023;16008
23/05/2023;16020
22/05/2023;16087
19/05/2023;16139
18/05/2023;15998
17/05/2023;16100
16/05/2023;16084
15/05/2023;16081
12/05/2023;15998
11/05/2023;16076
10/05/2023;16157
09/05/2023;16140
08/05/2023;16162
05/05/2023;16155
04/05/2023;16155
03/05/2023;16235
02/05/2023;16168
01/05/2023;16088
28/04/2023;16153
27/04/2023;16203
26/04/2023;16366
25/04/2023;16270
24/04/2023;16383
21/04/2023;16283
20/04/2023;16269
19/04/2023;16255
18/04/2023;16271
17/04/2023;16131
14/04/2023;16143
13/04/2023;16285
12/04/2023;16341
11/04/2023;16223
10/04/2023;16172
07/04/2023;16282
06/04/2023;16303
05/04/2023;16264
04/04/2023;16308
03/04/2023;16308
31/03/2023;16243
30/03/2023;16399
29/03/2023;16320
28/03/2023;16348
27/03/2023;16354
24/03/2023;16294
23/03/2023;16609
22/03/2023;16651
21/03/2023;16512
20/03/2023;16453
17/03/2023;16199
16/03/2023;16349
15/03/2023;16240
14/03/2023;16498
13/03/2023;16480
10/03/2023;16445
09/03/2023;16332
08/03/2023;16261
07/03/2023;16179
06/03/2023;16326
03/03/2023;16264
02/03/2023;16174
01/03/2023;16227
28/02/2023;16105
27/02/2023;16192
24/02/2023;16046
23/02/2023;16066
22/02/2023;16108
21/02/2023;16155
20/02/2023;16188
17/02/2023;16240
16/02/2023;16186
15/02/2023;16226
14/02/2023;16273
13/02/2023;16306
10/02/2023;16147
09/02/2023;16191
08/02/2023;16188
07/02/2023;16231
06/02/2023;16141
03/02/2023;16066
02/02/2023;16221
01/02/2023;16442
31/01/2023;16269
30/01/2023;16231
27/01/2023;16280
26/01/2023;16270
25/01/2023;16316
24/01/2023;16198
23/01/2023;16375
20/01/2023;16354
19/01/2023;16346
18/01/2023;16273
17/01/2023;16353
16/01/2023;16264
13/01/2023;16386
12/01/2023;16615
11/01/2023;16685
10/01/2023;16726
09/01/2023;16704
06/01/2023;16633
05/01/2023;16407
04/01/2023;16518
03/01/2023;16455
02/01/2023;16579
30/12/2022;16649
29/12/2022;16695
28/12/2022;16662
27/12/2022;16655
26/12/2022;16612
23/12/2022;16541
22/12/2022;16504
21/12/2022;16533
20/12/2022;16560
19/12/2022;16535
16/12/2022;16539
15/12/2022;16586
14/12/2022;16555
13/12/2022;16629
12/12/2022;16454
09/12/2022;16405
08/12/2022;16480
07/12/2022;16415
06/12/2022;16334
05/12/2022;16219
02/12/2022;16244
01/12/2022;16354
30/11/2022;16362
29/11/2022;16256
28/11/2022;16248
25/11/2022;16291
24/11/2022;16289
23/11/2022;16301
22/11/2022;16162
21/11/2022;16080
18/11/2022;16179
17/11/2022;16224
16/11/2022;16211
15/11/2022;16076
14/11/2022;16018
11/11/2022;16037
10/11/2022;16008
09/11/2022;15672
08/11/2022;15803
07/11/2022;15731
04/11/2022;15668
03/11/2022;15293
02/11/2022;15351
01/11/2022;15422
31/10/2022;15404
28/10/2022;15458
27/10/2022;15512
26/10/2022;15691
25/10/2022;15563
24/10/2022;15383
21/10/2022;15406
20/10/2022;15227
19/10/2022;15129
18/10/2022;15243
17/10/2022;15234
14/10/2022;14987
13/10/2022;15019
12/10/2022;14892
11/10/2022;14894
10/10/2022;14852
07/10/2022;14841
06/10/2022;14862
05/10/2022;15008
04/10/2022;15217
03/10/2022;15023
30/09/2022;14910
29/09/2022;14944
28/09/2022;14848
27/09/2022;14506
26/09/2022;14529
23/09/2022;14564
22/09/2022;14773
21/09/2022;14754
20/09/2022;14927
19/09/2022;15002
16/09/2022;14951
15/09/2022;14882
14/09/2022;14865
13/09/2022;14805
12/09/2022;15017
09/09/2022;14881
08/09/2022;14884
07/09/2022;14922
06/09/2022;14732
05/09/2022;14789
02/09/2022;14822
01/09/2022;14790
31/08/2022;14920
30/08/2022;14887
29/08/2022;14875
26/08/2022;14763
25/08/2022;14779
24/08/2022;14794
23/08/2022;14838
22/08/2022;14790
19/08/2022;14880
18/08/2022;14944
17/08/2022;15021
16/08/2022;15009
15/08/2022;14975
12/08/2022;15043
11/08/2022;15261
10/08/2022;15313
09/08/2022;15159
08/08/2022;15195
05/08/2022;15161
04/08/2022;15295
03/08/2022;15133
02/08/2022;15135
01/08/2022;15263
29/07/2022;15286
28/07/2022;15238
27/07/2022;15309
26/07/2022;15152
25/07/2022;15313
22/07/2022;15333
21/07/2022;15348
20/07/2022;15240
19/07/2022;15329
18/07/2022;15194
15/07/2022;15117
14/07/2022;15016
13/07/2022;15053
12/07/2022;15020
11/07/2022;15031
08/07/2022;15255
07/07/2022;15222
06/07/2022;15253
05/07/2022;15376
04/07/2022;15641
01/07/2022;15588
30/06/2022;15589
29/06/2022;15492
28/06/2022;15602
27/06/2022;15657
24/06/2022;15653
23/06/2022;15601
22/06/2022;15690
21/06/2022;15586
20/06/2022;15572
17/06/2022;15560
16/06/2022;15545
15/06/2022;15390
14/06/2022;15330
13/06/2022;15261
10/06/2022;15311
09/06/2022;15442
08/06/2022;15505
07/06/2022;15477
06/06/2022;15459
03/06/2022;15460
02/06/2022;15600
01/06/2022;15528
31/05/2022;15636
30/05/2022;15703
27/05/2022;15637
26/05/2022;15703
25/05/2022;15631
24/05/2022;15719
23/05/2022;15667
20/05/2022;15474
19/05/2022;15581
18/05/2022;15352
17/05/2022;15435
16/05/2022;15245
13/05/2022;15212
12/05/2022;15130
11/05/2022;15295
10/05/2022;15305
09/05/2022;15365
06/05/2022;15290
05/05/2022;15256
04/05/2022;15371
03/05/2022;15229
02/05/2022;15228
29/04/2022;15317
28/04/2022;15202
27/04/2022;15209
26/04/2022;15350
25/04/2022;15473
22/04/2022;15493
21/04/2022;15542
20/04/2022;15558
19/04/2022;15469
18/04/2022;15470
15/04/2022;15496
14/04/2022;15526
13/04/2022;15629
12/04/2022;15542
11/04/2022;15625
08/04/2022;15615
07/04/2022;15610
06/04/2022;15642
05/04/2022;15635
04/04/2022;15749
01/04/2022;15860
31/03/2022;15878
30/03/2022;15992
29/03/2022;15917
28/03/2022;15765
25/03/2022;15743
